,User,Tweet
103,VicMilne,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
104,luther_edmund,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
105,vogt_olga,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
106,BerthaGregary,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
107,GugchangUg,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
108,RaleignAugust,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
109,DennisS22554467,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
110,DanaBert1,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
111,HewlettGriselda,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
112,ReganArnold20,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
113,BerylWa70535025,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
114,QuincyGaskell1,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
115,IreneTa52796431,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
116,JuliaZi78236702,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
117,APungseon,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
118,Jennife22628109,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
119,LambertFreder19,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
120,AlfredHugh3,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
121,CrystalJosh3,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
122,landon_una,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
123,PennyKitty3,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
124,MerleSm62430813,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
125,DennisW02110002,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
126,SelenaLouis15,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
127,BeauBenjamin13,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
128,WatKennedy,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
129,alick_lydia,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
130,jonson_irene,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
131,EmmanuelMansfi2,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
132,GriffithHousman,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
133,jennings_lennon,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
134,nicola_saxton,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
135,MonroeGabriel5,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
136,kumodehironori,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
137,AthenaAdam4,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
138,HoraceLeila,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
139,LeifDewey,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
140,sagongsugyeong,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
141,JudithDorothy10,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
142,aubrey_horatio,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
143,PeterSt46323300,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
144,ThoreauOwen,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
145,OwenBarrie4,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
146,CaraGra61076425,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
147,BartonBaldwin6,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
148,hajaemo,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
149,MondNorton,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
150,ColbyPa82047055,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
151,shizeminda1,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
152,KarenBu09478239,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
153,peter_bertie,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
154,kherolnuar,"RT @GOALasia: Al Hilm - The Dream 😍

Describe the winning 2022 World Cup final goal 👇 https://t.co/wUL5eq3wTz"
155,Varun9Vijay,RT @GuardianUS: Blue day for Brazil’s yellow-shirted fans after shock World Cup exit https://t.co/gfjSzUHN01
156,MightyTips,"France vs Morocco Prediction 14.12.2022
World Cup

Didier Deschamps will surely name an unchanged eleven from the England game, as the player-legend did not re...

https://t.co/cHeNTrbWBs https://t.co/oeQq54kHvb"
157,RoxanneMonteci1,"RT @JK_Shazam: Jungkook’s Shazam profile has been updated with info about “Dreamers” and his performance.

“Later in 2022, he unveiled ""Dre…"
158,bdk1521,RT @MattMurph24: FIFA World Cup 2022: Shocking death of second journalist in 48 hours https://t.co/2ei1m6yQp1
159,Varun9Vijay,RT @GuardianUS: Gary Gold steps down as US Eagles coach after Rugby World Cup failure https://t.co/2EjMm7AnUa
160,ibrahimalbasri,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
161,Chinonsodonatu3,"RT @Bet9jaOfficial: Bet with Bet9ja at the World Cup to win amazing prizes! 🏆

Prizes include a Samsung UHD 4K TV, Apple iPhone 14 &amp; a Geel…"
162,KofiJesus45,"RT @AbsoluteChelsea: Endrick, who is closing in on a move to Real Madrid, and his family were impressed by #Chelsea but found them to be mo…"
163,ZaaboCole,"""Pouring Through a Crisis: How Budweiser Salvaged Its World Cup"" by Sarah Lyall via NYT https://t.co/qzbknSZCCD"
164,Tosquo,"RT @TheNationNews: President Muhammadu Buhari has congratulated the Moroccan national football team, the Atlas Loins, on its advancement to…"
165,EkeneAnadi,"RT @TheNationNews: President Muhammadu Buhari has congratulated the Moroccan national football team, the Atlas Loins, on its advancement to…"
166,yamasvegalta,"RT @soccanime: FIFA WORLD CUP QATAR 2022
ラウンド16
日本 1-1 クロアチア
PK 1-3

前田⚽ https://t.co/qyes5EtYdG"
