,User,Tweet,Date
79,Daily_Express,"'She will not be repeating this' BBC speak out on Alex Scott's 'rule break' in Qatar #WorldCup2022
https://t.co/CddIzMvsT0 https://t.co/hIVLf7e2Mj",2022-12-12 09:29:37+00:00
80,youtuffright,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:29:36+00:00
81,bellacaledonia,"RT @nealrstewart: I got a bit fed up about folk moaning about us not being as good as Croatia, so wrote something about it for ⁦@bellacaled…",2022-12-12 09:29:36+00:00
82,beerlandfestMw,"RT @AmeTitus: 💥KEDEZEMBER TO REMEMBER💥

🗓️ 17 Dec 2022
📍 Mesh Gardens LL Area 49
🎫 MWK 4000
🕙 9:00AM 

• DJs • MUSIC • FOOD • DRINKS • COCK…",2022-12-12 09:29:33+00:00
83,nikitapatootie,Selfie with the actual trophy for the Winner of FIFA World Cup Qatar 2022 https://t.co/wD4zN3MwJY,2022-12-12 09:29:30+00:00
84,vivi_chuks,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:29:30+00:00
85,aichan_good,"メンタルえぐい笑。

ハキミ スペイン戦パネンカ Spain vs Morocco World cup 2022 Round16 Hakimi https://t.co/CmVk7rJNfv @YouTubeより",2022-12-12 09:29:27+00:00
86,Welch5Kira,"Qatar World Cup 2022: Bracket simulator, predictor, FIFA predictions from proven soccer expert
https://t.co/OadasYvRKk",2022-12-12 09:29:27+00:00
87,ChelseaRooter,"Clubs believe Chelsea are close to agreeing deal for Germany’s teenage World Cup starlet
#CFC #KTBFFH
https://t.co/AaLYMNYdX7",2022-12-12 09:29:21+00:00
88,blakorni,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:29:19+00:00
89,AlertsHotspur,"LATEST: Manchester City Benefit From World Cup Quarter-Final Results, But Tottenham Hotspur Could Suffer #THFC https://t.co/EsE2zdMA7h",2022-12-12 09:29:16+00:00
90,brandlly_,"Fifa World Cup Qatar 2022 (Semi Final)
Predict 2 Finalist &amp; Cheer For Your Favourite Team
#Argentina 🇦🇷  vs #Croatia 🇭🇷  &amp; #France 🇫🇷  vs #Morocco 🇲🇦
#Harshali #HarshadChopda #PratikSehajpal #PranaliRathod #yrkkh #cryptocurrency #AnushkaShetty #CristianoRonaldo #Airdrops #Pathaan https://t.co/HwAvBzV9qu",2022-12-12 09:29:16+00:00
91,Anoosh_C,"Great (depressing!) detail in this piece by the ace @pollybindman:

https://t.co/CakxKiAfK4",2022-12-12 09:29:15+00:00
92,urogulfattest,"Fifa world cup Qatar 2022😍
Final Four

Urogulf - The Global Leaders in Certificate Attestation, Authentication, and Verification Services
APPROVED BY MINISTRIES AND EMBASSIES
https://t.co/eNs9TKaRUJ

#fifa #fifaworldcup #fifaworldcup2022 #qatar #oman #bahrain #uae #kuwait #india https://t.co/jXEwuOmYML",2022-12-12 09:29:12+00:00
93,KhelNow,"RT @KhelNowWF: Croatia predicted lineup for FIFA World Cup semi-final clash against Argentina 🔥⤵️

#Croatia #Argentina #FIFAWorldCup #Qatar…",2022-12-12 09:29:12+00:00
94,RandSNewsfeed,"Cristiano Ronaldo has said he ""would never turn his back"" on Portugal after seeing hos World Cup dream die in Qata... https://t.co/Denn4XUxUR",2022-12-12 09:29:06+00:00
